anio_mes;cantidad_total_ingresos;ingresos_a_crematorio;ingresos_a_nicho;ingresos_a_bovedas/panteones;ingresos_a_sepultura
2025-03;1473;967;162;68;276
2025-02;1395;828;188;66;313
2025-01;1564;995;166;66;337
2024-12;1685;976;188;98;423
2024-11;1636;955;167;107;407
2024-10;1689;978;188;97;426
2024-09;1668;906;176;93;493
2024-08;2207;1321;221;113;552
2024-07;2337;1354;260;91;632
2024-06;2260;1331;227;103;599
2024-05;2278;1322;228;106;622
2024-04;1943;1140;223;103;477
2024-03;1912;1098;221;97;496
2024-02;1697;1010;174;77;436
2024-01;1703;1020;193;59;431
2023-12;1733;1005;218;98;412
2023-11;1719;1003;188;104;424
2023-10;1817;1090;229;109;389
2023-09;2116;1241;273;172;430
2023-08;2045;1189;242;126;488
2023-07;2196;1314;255;105;522
2023-06;2158;1277;260;124;497
2023-05;1925;1136;227;104;458
2023-04;1855;1122;229;77;427
2023-03;1825;1068;233;69;455
2023-02;1728;980;219;92;437
2023-01;1794;1023;209;82;480
